BIN;Bank
901501;"АО ""АЛЬФА-БАНК"""
901503;"АО ""АЛЬФА-БАНК"""
901500;"АО ""АЛЬФА-БАНК"""
901300;"ПАО ""Запсибкомбанк"""
220013;"ПАО ""Запсибкомбанк"""
901301;"ПАО ""Запсибкомбанк"""
901302;"ПАО ""Запсибкомбанк"""
901303;"ПАО ""Запсибкомбанк"""
22001301;"ПАО ""Запсибкомбанк"""
22001302;"ПАО ""Запсибкомбанк"""
22001303;"ПАО ""Запсибкомбанк"""
220020;"ПАО ""МИнБанк"""
902001;"ПАО ""МИнБанк"""
22002001;"ПАО ""МИнБанк"""
22002002;"ПАО ""МИнБанк"""
22002003;"ПАО ""МИнБанк"""
676531;"ПАО ""МИнБанк"""
902000;"ПАО ""МИнБанк"""
220018;"АО ""Банк СГБ"""
901801;"АО ""Банк СГБ"""
901802;"АО ""Банк СГБ"""
22001801;"АО ""Банк СГБ"""
22001802;"АО ""Банк СГБ"""
22001803;"АО ""Банк СГБ"""
22001804;"АО ""Банк СГБ"""
901800;"АО ""Банк СГБ"""
220019;"ПАО ""БАНК УРАЛСИБ"""
901901;"ПАО ""БАНК УРАЛСИБ"""
22001901;"ПАО ""БАНК УРАЛСИБ"""
22001902;"ПАО ""БАНК УРАЛСИБ"""
22001904;"ПАО ""БАНК УРАЛСИБ"""
22001905;"ПАО ""БАНК УРАЛСИБ"""
22001907;"ПАО ""БАНК УРАЛСИБ"""
22001908;"ПАО ""БАНК УРАЛСИБ"""
901900;"ПАО ""БАНК УРАЛСИБ"""
901902;"ПАО ""БАНК УРАЛСИБ"""
901903;"ПАО ""БАНК УРАЛСИБ"""
901904;"ПАО ""БАНК УРАЛСИБ"""
220014;"АО ""КС БАНК"""
901401;"АО ""КС БАНК"""
22001401;"АО ""КС БАНК"""
22001402;"АО ""КС БАНК"""
22001403;"АО ""КС БАНК"""
22001404;"АО ""КС БАНК"""
901400;"АО ""КС БАНК"""
220011;"Банк ""Левобережный"" (ПАО)"
901101;"Банк ""Левобережный"" (ПАО)"
22001101;"Банк ""Левобережный"" (ПАО)"
22001102;"Банк ""Левобережный"" (ПАО)"
22001103;"Банк ""Левобережный"" (ПАО)"
22001104;"Банк ""Левобережный"" (ПАО)"
22001105;"Банк ""Левобережный"" (ПАО)"
22001106;"Банк ""Левобережный"" (ПАО)"
901100;"Банк ""Левобережный"" (ПАО)"
902101;"ПАО Банк ""АЛЕКСАНДРОВСКИЙ"""
22002101;"ПАО Банк ""АЛЕКСАНДРОВСКИЙ"""
22002102;"ПАО Банк ""АЛЕКСАНДРОВСКИЙ"""
220004;"АО ""Банк Русский Стандарт"""
900401;"АО ""Банк Русский Стандарт"""
22000401;"АО ""Банк Русский Стандарт"""
22000402;"АО ""Банк Русский Стандарт"""
22000403;"АО ""Банк Русский Стандарт"""
22000404;"АО ""Банк Русский Стандарт"""
900400;"АО ""Банк Русский Стандарт"""
220025;СДМ-Банк (ПАО)
22002501;СДМ-Банк (ПАО)
22002502;СДМ-Банк (ПАО)
22002503;СДМ-Банк (ПАО)
22002504;СДМ-Банк (ПАО)
902500;СДМ-Банк (ПАО)
220023;"ПАО АКБ ""АВАНГАРД"""
22002301;"ПАО АКБ ""АВАНГАРД"""
22002302;"ПАО АКБ ""АВАНГАРД"""
22002303;"ПАО АКБ ""АВАНГАРД"""
22002304;"ПАО АКБ ""АВАНГАРД"""
22002305;"ПАО АКБ ""АВАНГАРД"""
22002306;"ПАО АКБ ""АВАНГАРД"""
22002307;"ПАО АКБ ""АВАНГАРД"""
902300;"ПАО АКБ ""АВАНГАРД"""
220026;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
22002601;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
22002602;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
22002603;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902600;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902601;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902604;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902605;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902602;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902603;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902606;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
902201;"ПАО Банк ""ФК Открытие"""
913700;"ПАО Банк ""ФК Открытие"""
220022;"ПАО Банк ""ФК Открытие"""
913701;"ПАО Банк ""ФК Открытие"""
913702;"ПАО Банк ""ФК Открытие"""
913703;"ПАО Банк ""ФК Открытие"""
913704;"ПАО Банк ""ФК Открытие"""
220029;"ПАО Банк ""ФК Открытие"""
22002201;"ПАО Банк ""ФК Открытие"""
22002202;"ПАО Банк ""ФК Открытие"""
22002203;"ПАО Банк ""ФК Открытие"""
22002901;"ПАО Банк ""ФК Открытие"""
22002902;"ПАО Банк ""ФК Открытие"""
22002903;"ПАО Банк ""ФК Открытие"""
22002904;"ПАО Банк ""ФК Открытие"""
22002905;"ПАО Банк ""ФК Открытие"""
22008002;"ПАО Банк ""ФК Открытие"""
22008003;"ПАО Банк ""ФК Открытие"""
902903;"ПАО Банк ""ФК Открытие"""
902900;"ПАО Банк ""ФК Открытие"""
902902;"ПАО Банк ""ФК Открытие"""
220028;"ПАО ""МТС-Банк"""
902801;"ПАО ""МТС-Банк"""
22002801;"ПАО ""МТС-Банк"""
22002802;"ПАО ""МТС-Банк"""
22002803;"ПАО ""МТС-Банк"""
676884;"ПАО ""МТС-Банк"""
902800;"ПАО ""МТС-Банк"""
220032;"ПАО БАНК ""СИАБ"""
903201;"ПАО БАНК ""СИАБ"""
22003201;"ПАО БАНК ""СИАБ"""
22003202;"ПАО БАНК ""СИАБ"""
22003203;"ПАО БАНК ""СИАБ"""
220030;"АО ""Райффайзенбанк"""
22003001;"АО ""Райффайзенбанк"""
903000;"АО ""Райффайзенбанк"""
902401;Банк ВТБ (ПАО)
22002401;Банк ВТБ (ПАО)
22002404;Банк ВТБ (ПАО)
22002406;Банк ВТБ (ПАО)
22002407;Банк ВТБ (ПАО)
22002408;Банк ВТБ (ПАО)
22002409;Банк ВТБ (ПАО)
22002410;Банк ВТБ (ПАО)
22002412;Банк ВТБ (ПАО)
22002413;Банк ВТБ (ПАО)
676907;Банк ВТБ (ПАО)
902404;Банк ВТБ (ПАО)
902402;Банк ВТБ (ПАО)
22002402;Банк ВТБ (ПАО)
22002403;Банк ВТБ (ПАО)
22002405;Банк ВТБ (ПАО)
22002411;Банк ВТБ (ПАО)
902403;Банк ВТБ (ПАО)
902405;Банк ВТБ (ПАО)
906500;Банк ВТБ (ПАО)
906503;Банк ВТБ (ПАО)
906504;Банк ВТБ (ПАО)
220040;Банк ВТБ (ПАО)
904002;Банк ВТБ (ПАО)
904003;Банк ВТБ (ПАО)
220065;Банк ВТБ (ПАО)
906501;Банк ВТБ (ПАО)
22006501;Банк ВТБ (ПАО)
22006502;Банк ВТБ (ПАО)
22006503;Банк ВТБ (ПАО)
22006504;Банк ВТБ (ПАО)
22006505;Банк ВТБ (ПАО)
22006506;Банк ВТБ (ПАО)
22006508;Банк ВТБ (ПАО)
220057;"РНКО ""Платежный Центр"" (ООО)"
22005701;"РНКО ""Платежный Центр"" (ООО)"
905700;"РНКО ""Платежный Центр"" (ООО)"
220220;ПАО Сбербанк
922001;ПАО Сбербанк
922002;ПАО Сбербанк
22022001;ПАО Сбербанк
22022002;ПАО Сбербанк
22022003;ПАО Сбербанк
22022004;ПАО Сбербанк
22022005;ПАО Сбербанк
22022006;ПАО Сбербанк
22022007;ПАО Сбербанк
22022008;ПАО Сбербанк
22022009;ПАО Сбербанк
22022010;ПАО Сбербанк
22022011;ПАО Сбербанк
22022012;ПАО Сбербанк
22022013;ПАО Сбербанк
22022014;ПАО Сбербанк
22022015;ПАО Сбербанк
22022016;ПАО Сбербанк
22022017;ПАО Сбербанк
22022018;ПАО Сбербанк
22022019;ПАО Сбербанк
22022020;ПАО Сбербанк
22022021;ПАО Сбербанк
22022022;ПАО Сбербанк
22022024;ПАО Сбербанк
22022025;ПАО Сбербанк
22022026;ПАО Сбербанк
22022027;ПАО Сбербанк
22022028;ПАО Сбербанк
22022029;ПАО Сбербанк
22022030;ПАО Сбербанк
22022031;ПАО Сбербанк
22022033;ПАО Сбербанк
22022034;ПАО Сбербанк
22022035;ПАО Сбербанк
22022040;ПАО Сбербанк
22022041;ПАО Сбербанк
22022042;ПАО Сбербанк
22022043;ПАО Сбербанк
22022044;ПАО Сбербанк
922000;ПАО Сбербанк
922003;ПАО Сбербанк
922004;ПАО Сбербанк
922005;ПАО Сбербанк
922006;ПАО Сбербанк
22022023;ПАО Сбербанк
22022032;ПАО Сбербанк
22022050;ПАО Сбербанк
22022051;ПАО Сбербанк
22022052;ПАО Сбербанк
22022053;ПАО Сбербанк
22022055;ПАО Сбербанк
22022056;ПАО Сбербанк
22022057;ПАО Сбербанк
22022058;ПАО Сбербанк
22022059;ПАО Сбербанк
220033;"ПАО ""Банк ""Санкт-Петербург"""
903301;"ПАО ""Банк ""Санкт-Петербург"""
903302;"ПАО ""Банк ""Санкт-Петербург"""
22003301;"ПАО ""Банк ""Санкт-Петербург"""
22003302;"ПАО ""Банк ""Санкт-Петербург"""
22003303;"ПАО ""Банк ""Санкт-Петербург"""
22003304;"ПАО ""Банк ""Санкт-Петербург"""
22003305;"ПАО ""Банк ""Санкт-Петербург"""
22003306;"ПАО ""Банк ""Санкт-Петербург"""
22003307;"ПАО ""Банк ""Санкт-Петербург"""
22003308;"ПАО ""Банк ""Санкт-Петербург"""
22003309;"ПАО ""Банк ""Санкт-Петербург"""
22003310;"ПАО ""Банк ""Санкт-Петербург"""
22003311;"ПАО ""Банк ""Санкт-Петербург"""
903300;"ПАО ""Банк ""Санкт-Петербург"""
220034;"АО ""Кредит Европа Банк (Россия)"""
903401;"АО ""Кредит Европа Банк (Россия)"""
903402;"АО ""Кредит Европа Банк (Россия)"""
22003401;"АО ""Кредит Европа Банк (Россия)"""
220299;"ООО ""Чайна Констракшн Банк"""
220045;"ПАО КБ ""УБРиР"""
904501;"ПАО КБ ""УБРиР"""
22004501;"ПАО КБ ""УБРиР"""
22004502;"ПАО КБ ""УБРиР"""
904500;"ПАО КБ ""УБРиР"""
220056;"Банк ""КУБ"" (АО)"
905601;"Банк ""КУБ"" (АО)"
22005601;"Банк ""КУБ"" (АО)"
22005602;"Банк ""КУБ"" (АО)"
22005603;"Банк ""КУБ"" (АО)"
22005604;"Банк ""КУБ"" (АО)"
905602;"Банк ""КУБ"" (АО)"
905600;"Банк ""КУБ"" (АО)"
905603;"Банк ""КУБ"" (АО)"
905604;"Банк ""КУБ"" (АО)"
220122;"АО АКБ ""ЕВРОФИНАНС МОСНАРБАНК"""
22012201;"АО АКБ ""ЕВРОФИНАНС МОСНАРБАНК"""
22012202;"АО АКБ ""ЕВРОФИНАНС МОСНАРБАНК"""
22012203;"АО АКБ ""ЕВРОФИНАНС МОСНАРБАНК"""
671182;"ПАО АКБ ""Приморье"""
906701;"ПАО АКБ ""Приморье"""
22006702;"ПАО АКБ ""Приморье"""
22006703;"ПАО АКБ ""Приморье"""
906700;"ПАО АКБ ""Приморье"""
220246;"ООО КБ ""Лайтбанк"""
906601;"ПАО СКБ Приморья ""Примсоцбанк"""
22006601;"ПАО СКБ Приморья ""Примсоцбанк"""
22006602;"ПАО СКБ Приморья ""Примсоцбанк"""
22006603;"ПАО СКБ Приморья ""Примсоцбанк"""
22006604;"ПАО СКБ Приморья ""Примсоцбанк"""
220071;"ПАО КБ ""Восточный"""
22007101;"ПАО КБ ""Восточный"""
22007102;"ПАО КБ ""Восточный"""
22007103;"ПАО КБ ""Восточный"""
220038;"АО ""Россельхозбанк"""
903801;"АО ""Россельхозбанк"""
22003801;"АО ""Россельхозбанк"""
22003802;"АО ""Россельхозбанк"""
22003803;"АО ""Россельхозбанк"""
22003804;"АО ""Россельхозбанк"""
356514;"АО ""Россельхозбанк"""
6234461;"АО ""Россельхозбанк"""
903800;"АО ""Россельхозбанк"""
22003701;ПАО Банк ЗЕНИТ
903700;ПАО Банк ЗЕНИТ
220062;ПАО Банк ЗЕНИТ
903701;ПАО Банк ЗЕНИТ
906201;ПАО Банк ЗЕНИТ
22006201;ПАО Банк ЗЕНИТ
906200;ПАО Банк ЗЕНИТ
220110;ПАО Банк ЗЕНИТ
22011001;ПАО Банк ЗЕНИТ
22011002;ПАО Банк ЗЕНИТ
22011003;ПАО Банк ЗЕНИТ
220113;ПАО Банк ЗЕНИТ
22011301;ПАО Банк ЗЕНИТ
220378;ПАО Банк ЗЕНИТ
220031;"Банк ""Возрождение"" (ПАО)"
903101;"Банк ""Возрождение"" (ПАО)"
22003101;"Банк ""Возрождение"" (ПАО)"
22003102;"Банк ""Возрождение"" (ПАО)"
22003103;"Банк ""Возрождение"" (ПАО)"
22003104;"Банк ""Возрождение"" (ПАО)"
903100;"Банк ""Возрождение"" (ПАО)"
903901;ПАО РОСБАНК
220039;ПАО РОСБАНК
903902;ПАО РОСБАНК
22003901;ПАО РОСБАНК
22003902;ПАО РОСБАНК
22003903;ПАО РОСБАНК
22003904;ПАО РОСБАНК
22003905;ПАО РОСБАНК
22003906;ПАО РОСБАНК
22003907;ПАО РОСБАНК
22003908;ПАО РОСБАНК
903903;ПАО РОСБАНК
220330;"ООО ""Америкэн Экспресс Банк"""
220036;"ПАО ""Татфондбанк"""
903601;"ПАО ""Татфондбанк"""
22003601;"ПАО ""Татфондбанк"""
22003602;"ПАО ""Татфондбанк"""
220041;"ОАО АК ""БайкалБанк"""
904102;"ОАО АК ""БайкалБанк"""
22004101;"ОАО АК ""БайкалБанк"""
903501;"ПАО БАНК ""ЮГРА"""
22003504;"ПАО БАНК ""ЮГРА"""
22003506;"ПАО БАНК ""ЮГРА"""
904701;ПАО МОСОБЛБАНК
22004701;ПАО МОСОБЛБАНК
22004702;ПАО МОСОБЛБАНК
22004703;ПАО МОСОБЛБАНК
22004704;ПАО МОСОБЛБАНК
904700;ПАО МОСОБЛБАНК
220042;"АО ""Банк Дом.РФ"""
904201;"АО ""Банк Дом.РФ"""
22004201;"АО ""Банк Дом.РФ"""
22004202;"АО ""Банк Дом.РФ"""
22004203;"АО ""Банк Дом.РФ"""
904200;"АО ""Банк Дом.РФ"""
220049;Банк СОЮЗ (АО)
904901;Банк СОЮЗ (АО)
22004901;Банк СОЮЗ (АО)
22004902;Банк СОЮЗ (АО)
22004903;Банк СОЮЗ (АО)
22004904;Банк СОЮЗ (АО)
904900;Банк СОЮЗ (АО)
220048;"ПАО ""СКБ-банк"""
904801;"ПАО ""СКБ-банк"""
904802;"ПАО ""СКБ-банк"""
904803;"ПАО ""СКБ-банк"""
22004801;"ПАО ""СКБ-банк"""
22004802;"ПАО ""СКБ-банк"""
22004803;"ПАО ""СКБ-банк"""
22004805;"ПАО ""СКБ-банк"""
904800;"ПАО ""СКБ-банк"""
220055;"АКБ ""Алмазэргиэнбанк"" АО"
905501;"АКБ ""Алмазэргиэнбанк"" АО"
22005501;"АКБ ""Алмазэргиэнбанк"" АО"
22005503;"АКБ ""Алмазэргиэнбанк"" АО"
22005505;"АКБ ""Алмазэргиэнбанк"" АО"
356504;"АКБ ""Алмазэргиэнбанк"" АО"
904601;"АО МКБ ""ДОМ-БАНК"""
22004601;"АО МКБ ""ДОМ-БАНК"""
22004602;"АО МКБ ""ДОМ-БАНК"""
904301;"АО ""Севастопольский Морской банк"""
22004303;"АО ""Севастопольский Морской банк"""
22004304;"АО ""Севастопольский Морской банк"""
220044;"Банк ""ВПБ"" (АО)"
904401;"Банк ""ВПБ"" (АО)"
904402;"Банк ""ВПБ"" (АО)"
220050;"ООО ""ХКФ Банк"""
22005001;"ООО ""ХКФ Банк"""
22005002;"ООО ""ХКФ Банк"""
905000;"ООО ""ХКФ Банк"""
220053;"ПАО ""АК БАРС"" БАНК"
905302;"ПАО ""АК БАРС"" БАНК"
905303;"ПАО ""АК БАРС"" БАНК"
905304;"ПАО ""АК БАРС"" БАНК"
22005301;"ПАО ""АК БАРС"" БАНК"
22005302;"ПАО ""АК БАРС"" БАНК"
22005303;"ПАО ""АК БАРС"" БАНК"
905300;"ПАО ""АК БАРС"" БАНК"
220142;"КБ ""Гарант-Инвест"" (АО)"
22014201;"КБ ""Гарант-Инвест"" (АО)"
220124;"Банк ""Первомайский"" (ПАО)"
22012401;"Банк ""Первомайский"" (ПАО)"
220058;"АО БАНК ""СНГБ"""
905801;"АО БАНК ""СНГБ"""
22005801;"АО БАНК ""СНГБ"""
22005802;"АО БАНК ""СНГБ"""
22005803;"АО БАНК ""СНГБ"""
905800;"АО БАНК ""СНГБ"""
906301;"АО ""ОРБАНК"""
905201;БАНК ИПБ (АО)
22005202;БАНК ИПБ (АО)
22005203;БАНК ИПБ (АО)
22005204;БАНК ИПБ (АО)
905200;БАНК ИПБ (АО)
905401;"АО ""Дальневосточный банк"""
22005402;"АО ""Дальневосточный банк"""
22005403;"АО ""Дальневосточный банк"""
22005404;"АО ""Дальневосточный банк"""
22005406;"АО ""Дальневосточный банк"""
356546;"АО ""Дальневосточный банк"""
220383;ЭКСИ-БАНК (АО)
22038301;ЭКСИ-БАНК (АО)
906401;"ООО КБЭР ""Банк Казани"""
22006401;"ООО КБЭР ""Банк Казани"""
22006402;"ООО КБЭР ""Банк Казани"""
22006403;"ООО КБЭР ""Банк Казани"""
22006404;"ООО КБЭР ""Банк Казани"""
220060;Азиатско-Тихоокеанский Банк (АО)
906001;Азиатско-Тихоокеанский Банк (АО)
22006001;Азиатско-Тихоокеанский Банк (АО)
22006002;Азиатско-Тихоокеанский Банк (АО)
906000;Азиатско-Тихоокеанский Банк (АО)
905900;ТКБ БАНК ПАО
220059;ТКБ БАНК ПАО
905901;ТКБ БАНК ПАО
905902;ТКБ БАНК ПАО
22005901;ТКБ БАНК ПАО
22005902;ТКБ БАНК ПАО
22005903;ТКБ БАНК ПАО
22005904;ТКБ БАНК ПАО
22005905;ТКБ БАНК ПАО
907000;"АО ""Тинькофф Банк"""
220070;"АО ""Тинькофф Банк"""
22007001;"АО ""Тинькофф Банк"""
22007002;"АО ""Тинькофф Банк"""
220069;"АО КБ ""Хлынов"""
906901;"АО КБ ""Хлынов"""
22006901;"АО КБ ""Хлынов"""
22006902;"АО КБ ""Хлынов"""
22006903;"АО КБ ""Хлынов"""
906900;"АО КБ ""Хлынов"""
906902;"АО КБ ""Хлынов"""
220363;"Банк ""ТРАСТ"" (ПАО)"
906101;"АО ""Саровбизнесбанк"""
22006101;"АО ""Саровбизнесбанк"""
22006102;"АО ""Саровбизнесбанк"""
22006103;"АО ""Саровбизнесбанк"""
22006104;"АО ""Саровбизнесбанк"""
906100;"АО ""Саровбизнесбанк"""
907201;"АО ""Банк Интеза"""
220068;"ПАО ""Уралтрансбанк"""
906801;"ПАО ""Уралтрансбанк"""
22006801;"ПАО ""Уралтрансбанк"""
22006802;"ПАО ""Уралтрансбанк"""
22006803;"ПАО ""Уралтрансбанк"""
22006804;"ПАО ""Уралтрансбанк"""
220073;КИВИ Банк АО
22007304;КИВИ Банк АО
907300;КИВИ Банк АО
907302;КИВИ Банк АО
907301;КИВИ Банк АО
220089;"АО Банк ""Венец"""
22008901;"АО Банк ""Венец"""
677319;"АО Банк ""Венец"""
220077;"АО ""Почта Банк"""
22007701;"АО ""Почта Банк"""
22007702;"АО ""Почта Банк"""
22007703;"АО ""Почта Банк"""
22007704;"АО ""Почта Банк"""
22007705;"АО ""Почта Банк"""
22007706;"АО ""Почта Банк"""
907700;"АО ""Почта Банк"""
907701;"АО ""Почта Банк"""
907702;"АО ""Почта Банк"""
907703;"АО ""Почта Банк"""
907704;"АО ""Почта Банк"""
907705;"АО ""Почта Банк"""
220091;"АО ""Датабанк"""
22009101;"АО ""Датабанк"""
22009102;"АО ""Датабанк"""
22009103;"АО ""Датабанк"""
220027;"ПАО ""Совкомбанк"""
902700;"ПАО ""Совкомбанк"""
